1;2;10;5.08113
1;3;10;3.86762
1;4;10;5.25509
1;5;10;3.70061
1;6;10;6.30392
2;3;10;1.88692
2;4;10;2.13898
2;5;10;2.28193
2;6;10;4.66036
3;4;10;1.44322
3;5;10;2.7748
3;6;10;5.87679
4;5;10;3.90939
4;6;10;6.73634
5;6;10;3.22023
7;1;10;8.22085
7;6;10;1.92429
7;4;10;8.27347
7;5;10;5.06754
7;3;10;7.59003
8;1;10;4.34402
8;4;10;5.04421
8;6;10;2.09376
8;3;10;3.97207
8;2;10;3.20291
9;5;10;5.29727
9;4;10;9.16494
9;1;10;6.00564
9;3;10;7.87692
9;2;10;7.51845
10;3;10;6.77751
10;5;10;4.08912
10;6;10;2.70907
10;9;10;1.3737
10;2;10;6.24433
11;2;10;7.52555
11;9;10;0.0943462
11;3;10;7.90624
11;7;10;4.88646
11;6;10;3.98773
12;8;10;10.116
12;10;10;7.47928
12;2;10;13.1223
12;11;10;6.78539
12;6;10;8.48749
13;12;10;8.29308
13;8;10;18.3965
13;4;10;23.3869
13;6;10;16.6826
13;9;10;15.0141
14;10;10;17.6749
14;5;10;21.1489
14;2;10;22.6057
14;6;10;18.0204
14;3;10;23.8847
15;12;10;18.7582
15;4;10;33.5162
15;7;10;25.3137
15;10;10;26.2203
15;3;10;32.6215
